Participant,Group,Analytical Skills,Access to Educational Resources,Data Analysis and Management, ABS Knowledge and Application,Metadata Curation,Intake Processing Expertise,Capacity Strengthening Abilities,Collaboration with other researchers
S3,North,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted
S20,North,Increased,Not Impacted,Increased,Not Impacted,Increased,Not Impacted,Not Impacted,Increased
S30,North,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Increased,Increased
S6,North,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted
S17,North,Increased,Increased,Increased,Increased,Not Impacted,Increased,Not Impacted,Increased
S12,North,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted
S13,North,Increased,Not Impacted,Increased,Not Impacted,Increased,Increased,Not Impacted,Increased
S33,North,Increased,Increased,Increased,Not Impacted,Not Impacted,Increased,Increased,Increased
S34,North,Not Impacted,Increased,Increased,Not Impacted,Increased,Not Impacted,Not Impacted,Increased
S19,North,Increased,Increased,Not Impacted,Increased,Increased,Increased,Increased,Increased
S8,North,Not Impacted,Increased,Not Impacted,Increased,Not Impacted,Not Impacted,Not Impacted,Increased
S14,North,Increased,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Increased,Increased,Increased
S32,South,Increased,Increased,Increased,Increased,Increased,Not Impacted,Increased,Increased
S2,South,Increased,Increased,Increased,Increased,Increased,Increased,Increased,Increased
S4,South,Increased,Increased,Not Impacted,Increased,Increased,Increased,Increased,Increased
S5,South,Not Impacted,Increased,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Increased,Not Impacted
S10,South,Increased,Increased,Increased,Increased,Increased,Increased,Increased,Increased
S24,South,Increased,Increased,Increased,Increased,Increased,Increased,Increased,Increased
S25,South,Increased,Not Impacted,Not Impacted,Not Impacted,Increased,Not Impacted,Increased,Increased
S27,South,Increased,Not Impacted,Not Impacted,Not Impacted,Increased,Not Impacted,Increased,Increased
S31,South,Increased,Increased,Increased,Not Impacted,Increased,Increased,Increased,Increased
S1,South,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Not Impacted,Increased,Not Impacted
S18,South,Increased,Increased,Increased,Increased,Increased,Increased,Increased,Increased
S26,South,Increased,Increased,Increased,Increased,Increased,Increased,Increased,Increased
S28,South,NA,NA,NA,NA,NA,NA,NA,NA
S23,South,Increased,Increased,Increased,Increased,Increased,Increased,Increased,Increased
S7,South,Increased,Increased,Increased,Increased,Increased,Increased,Increased,Increased
S9,South,Increased,Increased,Increased,Not Impacted,Increased,Not Impacted,Increased,Increased
S22,South,Increased,Increased,Increased,Increased,Increased,Increased,Increased,Increased
S29,South,Increased,Increased,Not Impacted,Increased,Increased,Not Impacted,Increased,Increased
S11,South,Increased,Increased,Increased,Increased,Increased,Increased,Increased,Increased
S15,South,Increased,Increased,Increased,Increased,Not Impacted,Not Impacted,Increased,Increased
S16,South,Increased,Increased,Increased,Not Impacted,Decreased,Decreased,Increased,Increased
S21,South,Increased,Increased,Not Impacted,Not Impacted,Not Impacted,Increased,Increased,Increased
